tic_id,GAIA_Source,VSX_OID,VSX_Period,VSX_Type,GAIA_epsi,GAIA_sepsi,GAIA_RUWE,GAIA_RV,GAIA_e_RV,VSX_angDist,VSX_Match_Score,GAIA_angDist,GAIA_Match_Score,GAIA_RAJ2000,GAIA_DEJ2000,TIC_Tmag,GAIA_Gmag,num_sectors,best_subject_id,NSSmodel,NSS_Per,NSS_Vcm,NSS_Flags
246971220,100132734395672832,3742,153.043,EA/GS,0.317,120.43,2.211,7.02,5.28,0.040941,1.0,0.19207,2.0,35.5275888366,22.87359219924,5.81501,6.361703,1,39493579,,,,
55655482,1004034509082232576,2213424,3.959844,EA,0.08,8.9462,1.065,15.98,0.18,0.046849,1.0,1.312994,4.0,101.31456756775,61.49233048601,9.2175,9.657227,1,40867021,,,,
71103363,1005864680547618816,239907,2.44981,EA,0.223,53.724,1.951,,,1.589268,1.0,0.042769,4.0,91.92486301474,60.80173793573,11.8468,12.069717,2,40875192,,,,
55339898,1007573321616646656,2213196,0.71964,EA,2.809,13255.0,23.534,4.89,3.44,0.130553,1.0,1.036722,4.0,96.67422520888,64.09087973628,8.86805,9.288939,1,40891659,,,,
70999666,1008633250826288256,2213401,2.944357,EA,0.172,51.275,1.269,35.84,5.49,0.149614,1.0,0.066888,4.0,91.27014422519,65.12144783447,11.1369,11.482327,2,40862715,SB1,2.9439106617944577,10.909670538032,0.0
457139088,1017945049160345600,2213489,3.325584,EA,0.12,23.489,0.944,15.05,7.41,0.067261,1.0,0.093917,2.0,141.4486075026,49.45417315903,11.1564,11.487267,1,41021244,SB1,3.3255765501774315,-7.042859393359,0.0
318217844,1017991469167531136,37155,1.2223042,EA/SD,0.135,26.949,1.06,,,0.042787,1.0,0.105846,4.0,142.85268804995,49.46789247884,9.9964,10.243391,1,41022936,,,,
150225473,1018018235403653504,56658,0.41838,NL+E,0.0,0.0,0.992,,,0.216704,1.0,0.028379,2.0,143.06179358195,49.84852567492,16.1988,16.470123,1,41027140,,,,
457134360,1019003226022657920,43087,111.4374,EP,0.082,7.3483,0.927,3.79,0.16,0.082075,1.0,0.910192,4.0,140.65657001366,50.6037320352,8.3446,8.828991,1,41032514,,,,
318210930,1019985085615356672,687002,1.3055428,EA/RS,20.467,320260.0,,,,0.04203,1.0,0.105829,2.0,142.54475616399,53.64992201152,8.873,9.732295,1,41031147,,,,
446127290,1022096392749670016,37110,0.33363749,EW/KW,0.131,14.428,1.008,,,0.041289,1.0,0.541873,4.0,145.93946022373,55.95251711963,7.3795,7.745216,1,41031516,,,,
287095354,1023682919309621632,37154,0.478994587,EB/DW/RS,0.073,7.7012,0.979,20.35,26.88,0.040795,1.0,3.030011,4.0,137.4830644852,54.4882567245,8.8236,9.368692,1,41023792,,,,
459789367,1024762227410763264,37144,0.6873801,EA+DSCT,0.346,197.41,2.152,,,0.007014,1.0,0.303229,4.0,144.52799646537,56.01869126664,9.9765,10.137066,1,41023942,,,,
142258314,1029498682986373760,356623,0.844143,EA/EL,0.153,24.27,1.187,,,0.257857,1.0,0.755797,4.0,131.49503291607,53.03604003061,12.7808,12.828512,1,40862030,,,,
10057647,1029743770998959488,1545938,16.26379,EA+DSCT+ROT:,0.23,71.362,1.626,,,0.033841,1.0,0.607246,4.0,133.33043545832,53.73580905329,8.27324,8.46512,1,40860818,,,,
445069009,1030389974598928768,174727,0.559755,EA,0.0,0.0,1.02,6.69,5.62,0.176059,1.0,0.480387,4.0,131.04599145332,54.39651514171,12.4703,13.196487,1,40863820,,,,
461662516,1031356788916864640,167143,0.37326,EW,1.179,1924.3,8.675,,,0.142454,1.0,1.461298,4.0,124.36386885058,51.86303295467,9.12424,9.57793,1,40879387,,,,
81038220,1035063002096359680,17920,2.0224715,EA/SD,0.25,120.51,1.393,-45.28,7.92,0.090509,1.0,0.182974,4.0,123.49145309479,57.26594975337,10.2772,10.482638,1,40858282,SB1,2.022508920545351,-26.614631027535,0.0
457127187,1044611813907077632,37161,6.854939,EA/SD,0.103,24.77,1.125,3.97,0.17,20.893215,1.0,1.012836,4.0,133.96251784744,64.97265506661,9.45377,9.815136,1,40881567,,,,
138505004,1049087857023628672,37158,2.29926,EA/D,0.09,12.506,1.0,,,0.046707,1.0,0.292628,4.0,157.51331120624,61.81150834396,9.27755,9.706886,2,36976766,SB2,2.299146178472535,-66.0409325902538,8388608.0
28351918,105237148408077568,185967,0.51508836,EA+INT,0.063,3.6199,0.985,-6.63,28.56,0.114462,1.0,0.364217,4.0,29.59948665991,25.35546913094,12.0493,12.951549,1,38692280,,,,
138543573,1052402300465614080,37306,1.164708,EA,0.237,48.029,1.42,,,0.069196,1.0,0.280994,4.0,158.98191884073,63.5923368664,7.66611,7.964554,1,41037348,,,,
99834717,1055895483267019392,612190,1.706291,EP,0.063,4.9659,1.03,-15.57,0.54,0.05553,1.0,0.630138,4.0,165.16742604711,64.96398374863,12.212,12.782998,1,41022580,,,,
99920728,1056446544751396480,1540685,2.35822,EA+BY+UV,0.106,15.228,0.877,17.2,8.88,0.029608,1.0,1.196561,4.0,169.74619594646,64.6434142569,10.309,10.757024,1,36964920,,,,
142791832,1059944640994760448,37312,6.541975,EA,0.132,24.273,1.023,,,0.181846,1.0,0.518629,4.0,162.25811970175,67.214528877,9.95466,10.358124,1,41035281,,,,
86385104,1065020124107652352,2213496,2.323134,EA,0.112,23.635,0.978,-8.54,4.77,0.060275,1.0,0.103518,4.0,146.32924709819,65.74104575378,11.0926,11.491301,3,40866567,,,,
103656297,1066923516173792000,129814,0.2877891,EW,29.615,1239900.0,,,,0.015729,1.0,0.152962,2.0,152.67777561925,67.65879310664,9.7644,10.367822,2,41018640,,,,
142441910,1070123026291382144,2213495,2.879757,EA,0.088,12.393,0.963,-2.34,4.56,0.057269,1.0,0.297707,4.0,146.25358726921,68.7850766381,9.22176,9.57935,1,41034278,SB1,2.8796454947169314,-9.3586641636251,0.0
147610499,1070523111086221568,37266,0.52885234,EW,0.13,29.896,0.993,,,0.076158,1.0,0.657623,4.0,148.61923585155,69.22285039339,10.7531,11.028563,1,40875391,,,,
103605167,1070676218079057408,56759,8.456864,EA,0.146,25.874,0.985,,,0.03326,1.0,0.132686,4.0,151.25078854563,70.22920958187,8.4604,8.55405,1,36975867,,,,
103743317,1073112357888959104,1507407,1.5397,EA,0.062,3.4,1.257,-0.77,1.87,27.952293,1.0,0.632867,4.0,156.72234926421,69.07014079879,12.2333,13.397422,3,41024061,,,,
155894704,1074900468737991552,13681,1.3574226,EA/SD,0.238,88.562,2.078,-24.22,11.14,0.024541,1.0,0.268934,4.0,176.37170478922,72.24953561965,10.0095,10.378688,3,41026040,,,,
142587827,1078659497130412288,159276,0.439402,EW,0.098,9.7405,0.891,,,0.023286,1.0,1.474534,4.0,167.87039641949,73.11527664577,8.41654,8.772053,2,41027905,,,,
372759279,1079310648531984000,161359,1.2383832,EA+DSCT,0.131,26.11,0.998,-54.92,2.76,0.113894,1.0,0.253094,4.0,175.00599975979,75.15596293206,10.8419,11.042019,2,40871612,,,,
142588954,1080288664125447424,270362,41.03236,EA+BY,0.222,36.665,2.072,-34.0,3.58,0.102138,1.0,2.494068,4.0,168.17641529088,76.44899653362,12.2504,13.512622,1,40891144,,,,
335564109,1087780495837927808,2212852,2.1947739,EA,0.216,92.835,1.961,16.38,0.66,0.015418,1.0,0.496155,2.0,117.38898624109,61.55952397388,10.4451,10.912067,1,40854923,,,,
102841799,1093318701548868096,2213466,5.26038,EA,0.141,49.55,1.299,-19.66,2.18,0.122924,1.0,0.22625,4.0,127.39494608284,66.00032344429,11.3176,11.810167,1,40867045,SB1,5.260480758038575,-25.419731161482,0.0
99725941,1097717538333601408,1546208,29.9494,EA,0.449,329.15,3.627,,,0.01187,1.0,0.383674,4.0,124.97179703291,70.20985750037,8.4699,8.942332,1,48943856,SB2,44.955850146952486,-40.6980384648018,8388608.0
99641129,1102107819544067456,161027,0.09564662,EA/HW,0.212,22.582,1.034,,,0.016411,1.0,0.122231,4.0,107.6752138507,66.9287559738,14.86,14.616244,1,40865529,,,,
456260162,1105678822855958144,1504449,2.96602,EA,0.122,33.306,1.283,-0.16,0.21,37.605486,1.0,0.399868,4.0,101.35051285813,67.06900664645,10.1978,10.650688,1,40877532,,,,
456263109,1106402718122325760,4609,0.7713468,EB/KE,0.207,54.277,1.007,,,0.022547,1.0,0.1364,4.0,101.87003289568,69.62910375488,8.2434,8.245238,1,40861776,,,,
468827257,1107110253854435840,144299,17.871,EA,0.134,37.067,1.142,,,0.091625,1.0,0.17864,4.0,91.90911322192,69.72966251262,10.5894,11.015372,2,40859543,,,,
71330078,1108629710204038656,2212911,2.457247,EA,0.113,25.244,1.096,39.26,7.42,0.006199,1.0,0.41773,4.0,114.93267463073,69.25465089128,11.4456,11.809145,2,48944669,,,,
99639914,1109645933825258368,275660,0.238,EW,0.065,2.9446,1.128,,,0.037202,1.0,0.147342,4.0,107.78652331924,69.8743373034,13.444,14.085506,1,48943838,,,,
441613385,1110899853820753792,270274,0.208252121,EA/HW,0.397,10.978,1.286,,,0.034725,1.0,0.068585,1.0,118.37025982867,72.40679431764,16.7109,16.480227,2,40859141,,,,
441591821,1111105123194167936,609486,1.17311,EA,0.042,2.0914,1.138,6.85,5.28,0.010201,1.0,0.247464,4.0,113.65857526066,72.64088737978,12.4692,13.060772,1,48937564,,,,
441606527,1111131472817539712,359635,0.2824687,EW,0.06,4.9897,1.024,,,0.015166,1.0,0.512336,4.0,116.51473817661,72.61652889682,12.1755,12.678008,1,48945923,,,,
154339231,1113449041466528512,637207,0.2931856,EW,0.0,0.0,1.01,,,0.016592,1.0,0.715388,4.0,99.09998749281,72.86690574929,14.0155,14.713647,1,48951739,,,,
219707463,1117167211833947136,37291,4.507176,EA,0.216,54.38,1.169,,,0.024599,1.0,0.388955,4.0,136.5934894677,68.44514603663,6.83672,7.036628,2,40889557,,,,
147576476,1119321223832256640,159262,2.21954,EA,0.067,6.2213,0.901,26.33,14.05,0.032853,1.0,0.534727,4.0,144.54320364004,70.63217529153,8.609,8.971428,3,41031077,,,,
802663625,1123087188596704896,228655,0.2314009,EW,0.122,25.768,1.133,54.66,28.42,0.024829,1.0,1.348171,4.0,127.38231329548,72.52813488223,10.3038,10.991327,1,48936869,,,,
157770450,1127154075949146112,43253,3.28935,EA,0.397,205.04,3.4,,,0.338243,1.0,0.161077,4.0,147.57136331293,74.97110592289,8.36116,8.852942,2,40866268,,,,
142783746,1127909715314129536,172645,6.1513,EA,0.1,15.896,1.085,5.15,9.85,0.030792,1.0,0.070973,4.0,153.90270219771,76.69839317501,10.3414,10.716801,4,36978031,SB1,6.150944250396289,-0.12128928404402,0.0
142619515,1129006787401742464,129872,0.2698999,EW,0.281,84.444,2.195,-16.57,5.93,0.015629,1.0,0.270369,2.0,171.02223514136,77.87113568101,12.3748,12.881383,1,48930823,,,,
358613523,1130293589667301632,4598,1.328326,EA/SD:,0.125,23.289,1.187,,,0.079645,1.0,0.552403,4.0,175.10288799776,80.23597988903,10.0086,10.225554,3,48951263,,,,
355978205,1132105898363436160,2212780,0.89127,EA,1.426,2616.9,9.673,6.91,0.72,0.032114,1.0,0.170306,2.0,146.8179843689,78.61037394372,10.4269,10.728923,3,48939424,,,,
441608092,1136759753126962176,144324,0.619753,EA/RS,0.08,10.356,1.017,47.47,20.51,0.109214,1.0,1.525789,4.0,117.18207842013,76.46916057699,10.1879,10.817351,1,48941983,,,,
312865025,1137428256197026688,4611,2.7349678,EA/DM,0.093,12.73,0.96,,,0.052523,1.0,0.118667,4.0,126.46577780451,77.21856832245,9.4026,9.654409,2,40885003,SB2,2.734879893699222,4.015634639697259,8388608.0
153891668,1137726326927058560,4597,2.22682,EA/SD:,0.075,7.0955,0.834,-1.73,3.52,0.039488,1.0,0.149116,4.0,129.60699409457,76.92441121039,9.9101,10.187642,2,48946505,SB1,2.2271061988492478,-0.081065613559664,0.0
289969374,1138420290562688640,42378,0.255885,EW/KW,0.066,6.1116,0.96,,,0.069827,1.0,1.432629,4.0,118.62739075445,78.11259400436,10.279,10.807113,2,48939884,,,,
