TIC ID|TOI|Separation (arcsec)|Separation (arcsec) Error|Pos Angle E of N (deg)|Pos Angle E of N (deg) Error|Filter|Delta Mag|Delta Mag Error|Observation Date (UT)|Date|User|Group|Tag|Notes
689318||0.102||236.3||562: 562 (54) nm|4.48||2021-02-24|2022-09-16 17:53:42|furlan|tfopwg|95132|
689318||0.1||236.4||832: 832 (40) nm|2.74||2021-02-24|2022-09-16 17:53:42|furlan|tfopwg|95132|
909930|TOI 5287|1.5946||12.9||I: 879 (289) nm|1.6||2022-05-23|2022-05-25 06:28:32|ziegler|tfopwg|415304|
1003831|TOI 564|0.637||73.9||832: 832 (40) nm|4.95||2020-02-18|2021-11-01 11:51:24|furlan|tfopwg|18266|
1018843|TOI 2673|1.054|0.003|271.95|0.08|Kcont|2.192|0.01|2023-04-26|2023-06-05 09:30:42|ciardi|tfopwg|429156|Companion is likely TIC830384390 (Gaia DR3 5646258122942548224) and possibly bound with similar parallax and pm - colors consistent with M1V
1018843|TOI 2673|1.054|0.003|271.62|0.08|Jcont|2.944|0.02|2023-04-26|2023-06-05 09:30:42|ciardi|tfopwg|429156|Companion is likely TIC830384390 (Gaia DR3 5646258122942548224) and possibly bound with similar parallax and pm - colors consistent with M1V
1018843|TOI 2673|1.0685||271.2||I: 879 (289) nm|3.1||2021-11-22|2021-11-29 06:42:04|ziegler|tfopwg|102530|
1129033|TOI 398|3.3061||153.6||I: 879 (289) nm|1.6||2020-12-04|2020-12-09 07:01:48|ziegler|tfopwg|60960|
1260235|TOI 4830|0.6941||269||I: 879 (289) nm|3.6||2022-04-16|2022-04-19 10:36:50|ziegler|tfopwg|414867|
1308855||0.163||256.1||562: 562 (54) nm|0.67||2020-11-27|2022-02-04 13:23:29|furlan|tfopwg|93348|180 degree ambiguity in PA
1712487||0.162||26||562: 562 (54) nm|0.73||2020-12-03|2022-09-15 17:10:23|furlan|tfopwg|93583|180 degree ambiguity in PA
1712487||0.165||26.4||832: 832 (40) nm|0.26||2020-12-03|2022-09-15 17:10:23|furlan|tfopwg|93583|180 degree ambiguity in PA
1843105||1.491||39.7||832: 832 (40) nm|2.44||2021-07-20|2022-09-16 19:56:00|furlan|tfopwg|99349|
2100594||1.689||323.692||832: 832 (40) nm|9.99||2021-10-29|2022-07-19 12:43:12|everett||417148|NESSI@WIYN; fit failed, delta-mag unknown
2626856||1.133||18.3||832: 832 (40) nm|3.74||2019-06-08|2021-10-29 14:29:49|furlan|tfopwg|94192|
2758565|TOI 287|0.14||126||832: 832 (40) nm|3.71||2019-07-17|2021-11-16 15:33:38|furlan|tfopwg|102026|
2758565|TOI 287|0.141||125.8||832: 832 (40) nm|4.22||2019-10-12|2021-10-29 16:06:32|furlan|tfopwg|17151|
2758565|TOI 287|12.55|0.00354|297||Brgamma|4.941|0.05336|2019-07-14|2020-01-24 10:03:36|ciardi||5024|
2940839||0.14||223.868||832: 832 (40) nm|1.84||2023-02-06|2023-04-16 11:44:25|everett||428117|NESSI@WIYN; 180 degree ambiguity in PA
2940839||0.142||44.777||562: 562 (44) nm|1.97||2023-02-06|2023-04-16 11:44:25|everett||428117|NESSI@WIYN; 180 degree ambiguity in PA
3680800|TOI 5856|4.866|0.034|103.43|0.04|Brgamma|7.376|0.081|2023-08-29|2023-11-09 11:53:00|ciardi|tfopwg|431351|Palomar AO (PI: ciardi with Clark):
4028349||0.037||129.6||832: 832 (40) nm|1.84||2021-06-27|2022-09-19 09:58:17|furlan|tfopwg|98793|180 degree ambiguity in PA, uncertain fit
4464022|TOI 4542|1.5103||98.1||I: 879 (289) nm|4.6||2022-06-12|2022-08-18 07:05:05|ziegler|tfopwg|418523|
4626620||0.142||66.3||832: 832 (40) nm|1.38||2021-02-07|2022-09-15 17:21:01|furlan|tfopwg|94667|
4626620||0.137||68.7||562: 562 (54) nm|1.65||2021-02-07|2022-09-15 17:21:01|furlan|tfopwg|94667|
4729001|TOI 2941|0.4529||20.6||I: 879 (289) nm|2.5||2021-11-22|2021-11-29 06:42:04|ziegler|tfopwg|102544|
4746245||0.108||249.9||832: 832 (40) nm|0.67||2020-12-07|2023-06-30 09:53:08|furlan|tfopwg|93664|
4746245||0.108||249.5||562: 562 (54) nm|0.74||2020-12-07|2023-06-30 09:53:08|furlan|tfopwg|93664|
4746245||0.114||256.1||832: 832 (40) nm|0.69||2020-12-28|2021-12-17 15:19:08|furlan|tfopwg|94277|
4746245||0.115||254||562: 562 (54) nm|0.76||2020-12-28|2021-12-17 15:19:08|furlan|tfopwg|94277|
4746245||0.109||245.3||562: 562 (54) nm|0.75||2020-11-28|2021-12-17 11:32:21|furlan|tfopwg|93366|
4746245||0.109||247.3||832: 832 (40) nm|0.68||2020-11-28|2021-12-17 11:32:21|furlan|tfopwg|93366|
4746245||0.11||245.7||562: 562 (54) nm|0.75||2020-11-30|2021-12-17 11:32:21|furlan|tfopwg|93417|
4746245||0.109||247.8||832: 832 (40) nm|0.68||2020-11-30|2021-12-17 11:32:21|furlan|tfopwg|93417|
4746245||0.108||244.2||562: 562 (54) nm|0.75||2020-11-25|2021-12-17 11:32:21|furlan|tfopwg|93284|
4746245||0.108||243.9||562: 562 (54) nm|0.77||2020-11-24|2021-12-17 11:32:21|furlan|tfopwg|93256|
4746245||0.108||245.9||832: 832 (40) nm|0.72||2020-11-24|2021-12-17 11:32:21|furlan|tfopwg|93256|
4746245||0.108||246.3||832: 832 (40) nm|0.69||2020-11-25|2021-12-17 11:32:21|furlan|tfopwg|93284|
4746245||0.096||27.6||562: 562 (54) nm|0.76||2019-09-12|2021-11-19 11:17:07|furlan|tfopwg|17746|180 degree ambiguity in PA
4746245||0.081||26||832: 832 (40) nm|3.56||2019-09-12|2021-11-19 11:17:07|furlan|tfopwg|17746|180 degree ambiguity in PA
4746245||0.093||40.6||562: 562 (54) nm|0.74||2019-10-14|2021-10-29 16:06:32|furlan|tfopwg|17208|
4746245||0.094||40.3||832: 832 (40) nm|0.69||2019-10-12|2021-10-29 16:06:32|furlan|tfopwg|17157|
4746245||0.094||39.9||562: 562 (54) nm|0.79||2019-10-12|2021-10-29 16:06:32|furlan|tfopwg|17157|
4746245||0.094||41.7||832: 832 (40) nm|0.69||2019-10-15|2021-10-29 16:06:32|furlan|tfopwg|17249|
4746245||0.093||41.3||562: 562 (54) nm|0.72||2019-10-15|2021-10-29 16:06:32|furlan|tfopwg|17249|
4746245||0.093||41||832: 832 (40) nm|0.71||2019-10-14|2021-10-29 16:06:32|furlan|tfopwg|17208|
4999813|TOI 2878|1.6624||152||I: 879 (289) nm|5.6||2021-11-20|2021-11-29 06:42:04|ziegler|tfopwg|102511|
5592720|TOI 4986|0.3365||28.6||I: 879 (289) nm|3.5||2022-04-16|2022-04-19 10:36:50|ziegler|tfopwg|414852|
5772442|TOI 979|0.084||241.02||562: 562 (44) nm|0.57||2019-11-18|2022-07-19 12:59:13|everett||417525|NESSI@WIYN; 180 degree ambiguity in PA
5772442|TOI 979|0.084||239.969||832: 832 (40) nm|0.55||2019-11-18|2022-07-19 12:59:13|everett||417525|NESSI@WIYN; 180 degree ambiguity in PA
5772442|TOI 979|0.0849||237.6||I: 879 (289) nm|0.5||2020-11-01|2020-12-09 07:03:03|ziegler|tfopwg|60990|
5772442|TOI 979|0.0864||238.5||I: 879 (289) nm|0.5||2020-02-10|2020-02-14 06:07:35|ziegler|tfopwg|16695|
5772442|TOI 979|0.0834||238.4||I: 879 (289) nm|0.5||2019-12-12|2020-01-24 12:19:58|ziegler|tfopwg|16170|
5868998|TOI 749|1.322|0.00141|70||H|1.9345|0.00532|2019-06-25|2020-01-24 10:03:36|ciardi||4304|
5868998|TOI 749|1.321|0.00141|70||J|1.9364|0.00608|2019-06-25|2020-01-24 10:03:36|ciardi||4304|
5868998|TOI 749|1.324|0.00141|70||Kp|1.9281|0.0064|2019-06-25|2020-01-24 10:03:36|ciardi||4304|
6552512||0.115||346.5||832: 832 (40) nm|0.69||2021-02-07|2022-09-15 17:21:01|furlan|tfopwg|94650|180 degree ambiguity in PA
6853696|TOI 5437|2.022|0.015|205.45|0.3|I|2.4|0.1|2023-01-25|2023-04-05 07:47:12|safonov|tfopwg|427621|
8259901||0.091||288.2||832: 832 (40) nm|0.61||2019-06-08|2021-10-29 14:18:10|furlan|tfopwg|17069|180 degree ambiguity in PA
8259901||0.091||273.9||716: 716 (52) nm|0.61||2019-06-08|2021-10-29 14:18:10|furlan|tfopwg|17069|180 degree ambiguity in PA, uncertain fit
8516795|TOI 2169|6.421|0.045|234.65|0.03|Hcont|2.45|0.012|2023-06-29|2023-11-09 11:54:55|ciardi|tfopwg|429762|Palomar AO (PI: Ciardi with Clark, Lund, Catson, Harris):
8516795|TOI 2169|6.415|0.045|234.61|0.03|Brgamma|2.18|0.007|2023-06-29|2023-11-09 11:54:55|ciardi|tfopwg|429762|Palomar AO (PI: Ciardi with Clark, Lund, Catson, Harris):
8853478|TOI 5390|2.466||339.953||832: 832 (40) nm|4.21||2022-04-18|2022-07-18 14:50:29|everett||417119|NESSI@WIYN
9102327|TOI 313|4.43|0.00354|28||Hcont|3.892|0.01314|2019-07-14|2020-01-24 10:03:36|ciardi||5026|
9102327|TOI 313|4.43|0.00354|28||Brgamma|3.666|0.01593|2019-07-14|2020-01-24 10:03:36|ciardi||5026|
9264836||0.171||182.288||562: 562 (44) nm|0.72||2019-10-14|2022-07-19 12:59:13|everett||417541|NESSI@WIYN; 180 degree ambiguity in PA
9264836||0.173||181.347||832: 832 (40) nm|0.64||2019-10-14|2022-07-19 12:59:13|everett||417541|NESSI@WIYN; 180 degree ambiguity in PA
