TIC,Source,epsi,sepsi,RUWE,Gmag,RV,e_RV,NSS,RAJ2000,DEJ2000
115382018,183120431790693120,15.414,1.95E+05,,12.875074,,,0,83.53734633,35.29723694
2603042,183537288434779136,0,0.00E+00,0.995,13.229329,-13.76,5.35,0,80.33860513,34.6347823
367448265,185395080832205440,0.206,3.72E+01,0.996,7.909782,,,0,78.38243707,35.65305198
70664819,282174300465662080,3.626,1.70E+04,21.054,10.959313,,,0,87.27554792,60.17754972
256100687,426657554366250880,1.409,4.52E+02,6.572,15.294146,,,0,14.92035746,61.1875804
283020555,431582949841663232,11.003,1.60E+05,,12.313121,,,0,1.135836672,63.43475097
252824398,441748042213704704,0.781,4.42E+02,6.861,13.791515,,,0,50.87497486,50.00838278
251757935,447114998986540672,0.624,6.53E+02,6.956,12.008864,-42.78,19.58,0,46.95938659,54.06616284
251564581,459418671540234752,0,0.00E+00,0.981,14.105629,,,0,45.75021402,55.21214454
251172666,460730182754280704,0.117,1.41E+01,1.133,12.953819,,,0,43.25198914,57.54271234
286470992,463122720055223168,0.126,2.22E+01,1.176,10.112967,,,0,45.33071763,60.57229441
50445777,466048726659080576,0.052,2.42E+00,1.123,13.675109,50.08,14.83,0,40.59089872,62.90101318
260100848,468965284329930240,0.278,1.13E+02,2.542,12.670056,-82.65,25.52,0,62.78106837,56.3758016
468378722,483712827630973184,0.354,1.34E+02,3.743,13.34539,,,0,74.73565108,67.78212209
357677349,507367789513371392,0.245,2.86E+01,2.041,14.232492,,,0,35.27428482,59.92134413
400813988,508822546478799488,9.97,1.23E+05,,13.013695,,,0,30.77784884,62.72096886
284814380,524420699465597184,0.055,4.70E+00,0.908,12.013937,,,0,11.86367686,64.81801851
297696974,541284420393385600,0.521,2.83E+02,5.197,13.29084,-1.27,4.34,0,46.40248041,68.95764192
27543409,653620084592824960,0,0.00E+00,0.986,13.558455,89.06,5.38,0,122.7020039,13.56721711
252980672,936346026359797760,0.508,2.66E+02,3.153,10.684508,,,4,121.4075087,52.35302541
286280289,1309506460212838016,0.643,7.74E+02,4.306,11.700521,-23.52,6.74,0,254.2372932,29.31848059
219469945,1383708278019279616,0.076,8.51E+00,1.091,12.420957,-24.65,10.12,0,241.0479073,43.03030042
138186185,1482590760319386240,0.896,1.15E+03,7.566,12.99084,17.44,2.64,0,211.9777644,35.74892143
298712807,1800839693696009856,0.608,7.41E+02,6.929,12.269727,-0.94,8.35,0,324.5198557,28.16882949
244645340,1833941586469010304,1.249,1.90E+03,10.354,12.691284,-2.64,17.37,0,301.6772175,24.98909445
194899489,1872662370215471488,11.93,2.01E+05,,11.059863,-40.19,12.75,0,313.1022632,38.17170454
