TIC,Source,RandomI,"epsi",sepsi,IPDfmp,RUWE,"Gmag","RV","e_RV",NSS,"RAJ2000","DEJ2000"
28294709,104992846372737536,1298527271,0.13,2.11E+01,0,1.276,10.056419,6.02,0.45,0,28.90492876,24.11825958
85593751,123376685084303360,1723491233,0.457,2.75E+02,36,3.599,11.559401,5.21,0.28,0,47.36893066,30.67357305
58472992,150487961766577792,370987046,0.397,2.70E+02,66,2.73,11.313155,16.3,0.54,0,65.65338109,25.69994772
58372253,152310879029822336,319243305,0.105,2.11E+01,0,1.413,12.017322,19.95,0.56,0,65.29338869,27.16799004
65440953,244676903809422080,877195250,0.446,1.98E+02,28,3.944,13.122704,-75.6,1.31,0,54.21512306,44.76990648
9830791,277913353608229504,1779491552,0,0.00E+00,0,1.035,13.66859,-27.1,2.92,0,70.24205898,57.50773895
17005768,296405352479035008,914256059,47.341,1.96E+06,69,,10.649098,,,0,20.61063738,26.92572362
67418624,342493512661942016,614278426,0.114,1.38E+01,13,1.12,9.026112,4.89,0.15,0,28.66040146,37.00512414
53875855,362760466898749696,409703678,0.141,2.67E+01,7,1.312,10.852288,-20.25,0.25,0,14.6527568,34.1482576
71854732,409267850252780800,724928682,1.217,1.73E+03,0,9.053,12.777065,,,0,26.29741819,54.55965962
83148519,432075737204331008,1537255357,0.036,1.76E+00,0,0.885,12.18918,-19.37,0.96,0,2.528566665,64.57259892
81831095,463664951087829632,1268578811,0.16,3.52E+01,0,1.149,10.235991,6.57,2.05,0,47.80666779,61.76239095
87090944,473104258412065408,1762062921,0.916,1.18E+03,0,6.378,10.565093,7.54,0.87,3,58.48595602,58.96859602
53709089,522471192331961344,160130991,0.971,8.27E+02,93,6.189,9.900851,,,0,17.73672347,61.0921066
54464870,523173475321510784,1680001421,0.216,4.39E+01,25,1.303,8.450657,-10.37,0.62,0,19.59544549,63.54504515
46307587,611874548661527808,318815449,0.088,8.20E+00,9,1.121,13.031454,13.67,1.4,0,133.1479576,17.49979446
27064468,623633615066248576,402605255,0.126,2.09E+01,1,1.164,9.945831,12.64,0.28,0,151.6600313,18.63410796
8853478,697170125259731456,296499115,0.121,1.83E+01,0,0.919,11.485598,18.34,0.67,0,142.4444018,30.06300358
29191596,810054200944070528,997781703,0.071,7.37E+00,4,0.965,9.142358,8.99,0.57,0,151.720793,45.88353902
26693519,870284314042482048,781934929,0.82,6.00E+02,51,6.75,10.646529,-1.64,0.41,0,110.7851877,25.5587765
29119552,926524844902727296,1125533603,0.534,3.61E+02,0,4.386,10.604729,17.89,5.19,1,118.6298126,45.80801522
15863518,945494993894772992,314359431,0.33,1.50E+02,21,2.174,11.202455,-20.86,0.34,0,100.5206484,39.84317846
51094586,989751475081192192,1197916567,68.666,6.60E+06,68,,12.394244,,,0,108.6065123,56.7001463
67743054,1288495931174061056,1353540923,0.056,5.59E+00,0,0.983,12.545767,-26.05,0.98,0,225.544674,31.96735568
21832928,1334288219648212352,1005503785,0.14,2.35E+01,0,1.07,7.081035,-10.54,0.13,0,256.9826227,32.10548391
88840705,1346780595884995968,1011216337,3.583,1.29E+04,94,26.542,9.470051,,,0,262.5893157,40.36972544
82452140,1353631412319001600,1458528932,0.111,1.58E+01,0,1.098,10.450298,-2.8,0.33,0,255.0975322,39.72992676
53498154,1546352569189373952,1419809891,0.08,1.24E+01,1,0.983,10.54358,-30.94,0.19,0,180.844853,49.25122034
15460993,1799171631477880192,488922007,3.6,1.84E+04,16,31.346,13.121254,-31.65,2.19,0,323.2056369,26.84615747
13499636,1848265890810513920,56374965,0.116,2.41E+01,0,0.982,11.079321,-15.81,0.31,0,320.2016467,28.05574552
67247610,1871007742644294016,1170497836,0.363,5.17E+01,17,1.542,14.619705,-82.37,2.08,0,311.8622602,37.11740573
27863043,1892149117860250752,269343774,0.104,2.11E+01,0,1.204,10.327282,-21.6,0.17,0,333.0264813,26.47463993
17865622,1896138833241139584,910140757,0.32,1.50E+02,45,1.979,11.427763,-3.67,0.4,0,328.9113405,28.17950569
67478724,1910379604762707712,426594101,0.11,1.74E+01,0,0.928,11.495652,-7.51,0.4,0,349.6553741,32.30165782
65981892,2002009948894885888,718029011,0.54,2.91E+02,2,4.529,13.194545,-30.67,3.07,0,340.5148279,52.34368362
